City_ID,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
1,Santo Domingo,DO,85.68,broken clouds,18.5001,-69.9886,Cabañas City Heart
3,Honiara,SB,76.01,overcast clouds,-9.4333,159.95,Heritage Park Hotel
5,Rikitea,PF,78.69,broken clouds,-23.1203,-134.9692,People ThankYou
10,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
11,Qui Nhon,VN,70.74,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
17,Payo,ID,73.69,light rain,-3.7508,103.6372,Mess keban agung
18,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
20,Gizo,SB,81.81,overcast clouds,-8.103,156.8419,Imagination Island
26,Kavieng,PG,81.68,broken clouds,-2.5744,150.7967,Nusa Island Retreat
33,Kruisfontein,ZA,83.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
35,Sattahip,TH,87.98,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
37,Hithadhoo,MV,82.83,few clouds,-0.6,73.0833,Scoop Guest House
40,Bredasdorp,ZA,72.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
46,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
47,Emerald,AU,73.54,overcast clouds,-23.5333,148.1667,The Irish Village
49,Victoria,HK,73.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
50,Atuona,PF,78.46,overcast clouds,-9.8,-139.0333,Villa Enata
51,Port Alfred,ZA,80.78,overcast clouds,-33.5906,26.891,The Halyards Hotel
54,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Cidreira,BR,72.28,overcast clouds,-30.1811,-50.2056,Hotel Castelo
58,Saint-Philippe,RE,78.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Port Elizabeth,ZA,85.1,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Benguela,AO,78.67,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
71,Pergamino,AR,75.18,clear sky,-33.89,-60.5736,Hotel Fachinat
72,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
73,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
74,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
79,Tura,IN,70.95,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
80,Cape Town,ZA,72.09,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
81,Gemena,CD,71.15,light rain,3.25,19.7667,Hôtel Goshen
82,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Ixtapa,MX,72.63,clear sky,20.7,-105.2,hotel la terminal
90,Itarema,BR,82.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
91,Butaritari,KI,81.25,few clouds,3.0707,172.7902,Isles Sunset Lodge
93,Hilo,US,73.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
99,Ternate,ID,81.01,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
101,Dingle,PH,76.37,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
103,Kudahuvadhoo,MV,82.67,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
109,Arraial Do Cabo,BR,85.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
111,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
122,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
124,Plettenberg Bay,ZA,75.33,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
128,Touros,BR,84.94,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
131,Gorontalo,ID,76.95,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
134,Roebourne,AU,87.58,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
136,Rocha,UY,71.67,clear sky,-34.4833,-54.3333,Hotel Arrarte
137,Belmonte,BR,83.89,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
138,Tessalit,ML,83.34,clear sky,20.1986,1.0114,
139,Hervey Bay,AU,73.2,clear sky,-25.2986,152.8535,Shelly Bay Resort
142,Santiago,CL,85.28,clear sky,-33.4569,-70.6483,Hotel Panamericano
143,Poum,NC,80.55,clear sky,-20.2333,164.0167,
151,Meulaboh,ID,78.3,overcast clouds,4.1363,96.1285,Kost Pria
155,Srivardhan,IN,80.29,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
160,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
163,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
167,Banda Aceh,ID,79.65,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
168,Takoradi,GH,82.72,broken clouds,4.8845,-1.7554,Raybow International Hotel
169,Tuy Hoa,VN,70.59,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
173,Kampong Cham,KH,79.68,overcast clouds,11.9934,105.4635,7 Makara Hotel
175,Chuy,UY,70.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
183,Sao Miguel Do Araguaia,BR,82.92,light rain,-13.275,-50.1628,Hotel Executivo Palace
