City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
0,0,Shenjiamen,CN,2022-03-12 17:32:24,29.9576,122.298,57.52,94,45,20.27,scattered clouds
1,1,Santo Domingo,DO,2022-03-12 17:27:53,18.5001,-69.9886,85.68,68,75,4.0,broken clouds
2,2,Saint Boswells,GB,2022-03-12 17:32:24,55.573,-2.6441,47.16,83,73,5.59,broken clouds
3,3,Honiara,SB,2022-03-12 17:30:15,-9.4333,159.95,76.01,91,100,0.81,overcast clouds
4,4,Tuktoyaktuk,CA,2022-03-12 17:32:25,69.4541,-133.0374,-14.8,76,75,12.66,light snow
5,5,Rikitea,PF,2022-03-12 17:32:25,-23.1203,-134.9692,78.69,73,74,10.07,broken clouds
6,6,Visby,SE,2022-03-12 17:28:47,57.6409,18.296,37.62,48,19,4.61,few clouds
7,7,Ushuaia,AR,2022-03-12 17:32:25,-54.8,-68.3,49.66,62,75,5.75,broken clouds
8,8,Albany,US,2022-03-12 17:30:14,42.6001,-73.9662,27.43,92,100,5.99,snow
9,9,Cariati,IT,2022-03-12 17:32:26,39.4922,16.9594,43.99,59,44,0.98,scattered clouds
10,10,Bathsheba,BB,2022-03-12 17:29:59,13.2167,-59.5167,84.81,58,20,29.93,few clouds
11,11,Qui Nhon,VN,2022-03-12 17:32:26,13.7667,109.2333,70.74,85,56,7.45,broken clouds
12,12,Varnavino,RU,2022-03-12 17:32:27,57.4035,45.0916,15.64,99,100,3.11,overcast clouds
13,13,Mataura,NZ,2022-03-12 17:32:27,-46.1927,168.8643,50.49,97,15,2.21,few clouds
14,14,Healesville,AU,2022-03-12 17:32:27,-37.65,145.5167,59.52,99,3,2.48,clear sky
15,15,Ribeira Grande,PT,2022-03-12 17:32:28,38.5167,-28.7,63.0,55,20,5.75,few clouds
16,16,Hovd,MN,2022-03-12 17:32:28,48.0056,91.6419,19.74,64,26,2.24,scattered clouds
17,17,Payo,ID,2022-03-12 17:32:28,-3.7508,103.6372,73.69,98,100,1.36,light rain
18,18,Vaini,TO,2022-03-12 17:32:29,-21.2,-175.2,75.36,100,20,2.3,few clouds
19,19,Tasiilaq,GL,2022-03-12 17:32:29,65.6145,-37.6368,32.16,88,99,22.01,overcast clouds
20,20,Gizo,SB,2022-03-12 17:32:29,-8.103,156.8419,81.81,71,88,5.48,overcast clouds
21,21,Kodiak,US,2022-03-12 17:32:30,57.79,-152.4072,36.91,93,100,3.44,overcast clouds
22,22,Busselton,AU,2022-03-12 17:32:30,-33.65,115.3333,68.68,81,93,4.94,overcast clouds
23,23,Gobabis,,2022-03-12 17:32:30,-22.45,18.9667,78.66,33,13,8.79,few clouds
24,24,Saint George,US,2022-03-12 17:30:44,37.1041,-113.5841,52.63,27,0,3.44,clear sky
25,25,Samus,RU,2022-03-12 17:32:31,56.7475,84.6992,-9.27,100,92,2.93,overcast clouds
26,26,Kavieng,PG,2022-03-12 17:32:31,-2.5744,150.7967,81.68,70,82,7.96,broken clouds
27,27,Beringovskiy,RU,2022-03-12 17:32:32,63.05,179.3167,0.07,85,4,10.67,clear sky
28,28,Xichang,CN,2022-03-12 17:32:32,27.8964,102.2634,57.15,61,97,3.38,overcast clouds
29,29,Tiksi,RU,2022-03-12 17:32:33,71.6872,128.8694,-18.56,99,66,6.4,broken clouds
30,30,Punta Arenas,CL,2022-03-12 17:29:26,-53.15,-70.9167,50.11,66,75,17.27,broken clouds
31,31,Jamestown,US,2022-03-12 17:27:43,42.097,-79.2353,20.84,57,100,24.16,overcast clouds
32,32,Geraldton,AU,2022-03-12 17:31:30,-28.7667,114.6,66.61,82,25,0.0,scattered clouds
33,33,Kruisfontein,ZA,2022-03-12 17:28:13,-34.0033,24.7314,83.88,54,27,3.67,scattered clouds
34,34,Katsuura,JP,2022-03-12 17:32:34,35.1333,140.3,56.66,86,46,4.54,scattered clouds
35,35,Sattahip,TH,2022-03-12 17:32:34,12.6664,100.9007,87.98,89,20,4.61,few clouds
36,36,Ostrovnoy,RU,2022-03-12 17:32:34,68.0531,39.5131,30.34,76,100,17.72,overcast clouds
37,37,Hithadhoo,MV,2022-03-12 17:32:35,-0.6,73.0833,82.83,74,19,6.64,few clouds
38,38,Waitati,NZ,2022-03-12 17:32:35,-45.75,170.5667,53.8,82,3,3.42,clear sky
39,39,Pacific Grove,US,2022-03-12 17:32:35,36.6177,-121.9166,61.39,73,0,4.0,clear sky
40,40,Bredasdorp,ZA,2022-03-12 17:32:36,-34.5322,20.0403,72.72,68,7,16.11,clear sky
41,41,Thompson,CA,2022-03-12 17:32:36,55.7435,-97.8558,5.16,51,100,5.75,overcast clouds
42,42,Qaanaaq,GL,2022-03-12 17:32:36,77.484,-69.3632,-11.22,69,3,2.55,clear sky
43,43,Kaitangata,NZ,2022-03-12 17:29:19,-46.2817,169.8464,47.91,94,22,5.3,few clouds
44,44,Chapleau,CA,2022-03-12 17:34:56,47.8405,-83.4034,5.09,66,75,11.5,broken clouds
45,45,Marawi,PH,2022-03-12 17:34:56,7.9986,124.2928,69.3,95,83,1.28,broken clouds
46,46,Avarua,CK,2022-03-12 17:34:56,-21.2078,-159.775,71.65,100,73,1.14,broken clouds
47,47,Emerald,AU,2022-03-12 17:34:32,-23.5333,148.1667,73.54,78,100,9.22,overcast clouds
48,48,Suez,EG,2022-03-12 17:34:57,29.9737,32.5263,52.74,44,0,15.46,clear sky
49,49,Victoria,HK,2022-03-12 17:32:02,22.2855,114.1577,73.45,77,44,5.99,scattered clouds
50,50,Atuona,PF,2022-03-12 17:34:57,-9.8,-139.0333,78.46,75,86,14.92,overcast clouds
51,51,Port Alfred,ZA,2022-03-12 17:34:58,-33.5906,26.891,80.78,73,99,16.67,overcast clouds
52,52,Solone,UA,2022-03-12 17:34:58,48.2081,34.8721,25.03,78,59,2.33,broken clouds
53,53,Little Current,CA,2022-03-12 17:30:22,45.9793,-81.9248,15.42,60,55,17.78,broken clouds
