City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-03-06 18:54:41,-34.4187,19.2345,69.8,94,23,2.35
1,Vaini,TO,2022-03-06 18:54:41,-21.2,-175.2,75.36,94,75,4.61
2,Pisco,PE,2022-03-06 18:54:39,-13.7,-76.2167,75.02,83,20,9.22
3,Ilulissat,GL,2022-03-06 18:54:42,69.2167,-51.1,14.29,93,100,8.3
4,Qaanaaq,GL,2022-03-06 18:54:42,77.484,-69.3632,-0.78,67,0,6.98
5,Hilo,US,2022-03-06 18:52:28,19.7297,-155.09,75.25,77,100,6.91
6,Gamba,GA,2022-03-06 18:54:43,-2.65,10.0,80.94,82,100,6.87
7,Portland,US,2022-03-06 18:50:08,45.5234,-122.6762,48.2,83,100,3.44
8,Iqaluit,CA,2022-03-06 18:54:43,63.7506,-68.5145,1.13,78,75,6.91
9,Butaritari,KI,2022-03-06 18:54:43,3.0707,172.7902,81.52,76,33,18.3
10,Rikitea,PF,2022-03-06 18:54:44,-23.1203,-134.9692,79.12,77,100,18.61
11,Punta Arenas,CL,2022-03-06 18:50:33,-53.15,-70.9167,50.11,53,75,9.22
12,Hobart,AU,2022-03-06 18:54:45,-42.8794,147.3294,50.05,76,75,4.61
13,Puerto Ayora,EC,2022-03-06 18:54:45,-0.7393,-90.3518,85.96,76,75,4.59
14,Bethel,US,2022-03-06 18:54:45,41.3712,-73.414,63.03,90,100,4.0
15,Ushuaia,AR,2022-03-06 18:54:46,-54.8,-68.3,42.46,75,100,0.0
16,East London,ZA,2022-03-06 18:54:46,-33.0153,27.9116,72.54,94,0,4.61
17,Faanui,PF,2022-03-06 18:54:47,-16.4833,-151.75,81.63,73,82,13.06
18,Kenai,US,2022-03-06 18:54:47,60.5544,-151.2583,25.09,93,0,0.0
19,Alyangula,AU,2022-03-06 18:54:47,-13.8483,136.4192,78.67,100,100,3.44
20,Thinadhoo,MV,2022-03-06 18:54:48,0.5333,72.9333,82.51,70,49,9.42
21,Jamestown,US,2022-03-06 18:54:48,42.097,-79.2353,69.3,55,100,26.46
22,Macon,US,2022-03-06 18:54:49,39.8667,-88.9668,49.32,47,18,12.48
23,Suntar,RU,2022-03-06 18:54:49,62.1444,117.6319,-16.01,100,65,3.18
24,Kurilsk,RU,2022-03-06 18:54:49,45.2333,147.8833,27.25,94,100,26.73
25,Mataura,NZ,2022-03-06 18:54:50,-46.1927,168.8643,48.47,98,100,3.47
26,Katherine,AU,2022-03-06 18:54:50,-14.4667,132.2667,77.32,88,100,1.14
